instance,iterations,tenure_flip,tenure_swap,stall,diversify,seed,best_value,total_weight,elapsed_ms
docs/inst_test/instancias/n_1000_1,100,15,15,5,0.1000,202,9992297061,9992292379,37
docs/inst_test/instancias/n_1000_1,100,15,15,5,0.1000,4,9995297223,9995292560,42
docs/inst_test/instancias/n_1000_1,100,15,15,5,0.2000,202,9994827117,9994822716,31
docs/inst_test/instancias/n_1000_1,100,15,15,5,0.3000,4,9994827139,9994822678,25
docs/inst_test/instancias/n_1000_1,100,15,15,10,0.1000,4,9995296915,9995292252,28
docs/inst_test/instancias/n_1000_1,100,15,15,10,0.1000,12,9993297100,9993292455,27
docs/inst_test/instancias/n_1000_1,100,15,15,5,0.3000,12,9990356462,9990352483,41
docs/inst_test/instancias/n_1000_1,100,15,15,5,0.3000,202,9999887011,9999883425,39
docs/inst_test/instancias/n_1000_1,100,15,15,10,0.2000,12,9999827461,9999822909,26
docs/inst_test/instancias/n_1000_1,100,15,15,10,0.1000,202,9991296961,9991292372,37
docs/inst_test/instancias/n_1000_1,100,15,15,10,0.3000,4,9994827139,9994822678,26
docs/inst_test/instancias/n_1000_1,100,15,15,10,0.2000,4,9992827022,9992822537,47
docs/inst_test/instancias/n_1000_1,100,15,15,10,0.2000,202,9994827117,9994822716,46
docs/inst_test/instancias/n_1000_1,100,15,15,20,0.1000,4,9994297160,9994292499,30
docs/inst_test/instancias/n_1000_1,100,15,15,10,0.3000,12,9989826789,9989822344,38
docs/inst_test/instancias/n_1000_1,100,15,15,10,0.3000,202,9999886847,9999883349,37
docs/inst_test/instancias/n_1000_1,100,15,15,20,0.2000,12,9999827461,9999822909,22
docs/inst_test/instancias/n_1000_1,100,15,15,20,0.1000,202,9991296961,9991292372,33
docs/inst_test/instancias/n_1000_1,100,15,15,20,0.1000,12,9993297100,9993292455,41
docs/inst_test/instancias/n_1000_1,100,15,15,20,0.2000,4,9989296870,9989292248,36
docs/inst_test/instancias/n_1000_1,100,15,15,20,0.2000,202,9994827117,9994822716,28
docs/inst_test/instancias/n_1000_1,100,15,15,20,0.3000,202,9999357275,9999353107,22
docs/inst_test/instancias/n_1000_1,100,15,15,20,0.3000,12,9989826789,9989822344,27
docs/inst_test/instancias/n_1000_1,100,15,15,20,0.3000,4,9994827139,9994822678,33
docs/inst_test/instancias/n_1000_1,100,20,7,5,0.1000,202,9992297061,9992292379,25
