instance,iterations,tenure_flip,tenure_swap,stall,diversify,seed,best_value,total_weight,elapsed_ms
docs\inst_test\instancias\n_1000_1,100,20,7,20,0.2000,202,9994827117,9994822716,31
docs\inst_test\instancias\n_1000_1,100,20,7,20,0.3000,4,9994827139,9994822678,31
docs\inst_test\instancias\n_1000_1,100,20,7,20,0.3000,202,9999357275,9999353107,23
docs\inst_test\instancias\n_1000_1,100,20,7,20,0.3000,12,9989826789,9989822344,30
docs\inst_test\instancias\n_1000_1,100,20,10,5,0.1000,202,9992297061,9992292379,25
docs\inst_test\instancias\n_1000_1,100,20,10,5,0.1000,4,9995297223,9995292560,32
docs\inst_test\instancias\n_1000_1,100,20,10,5,0.2000,4,9992827053,9992822527,23
docs\inst_test\instancias\n_1000_1,100,20,10,5,0.1000,12,9996297291,9996292580,36
docs\inst_test\instancias\n_1000_1,100,20,10,5,0.2000,12,9999827461,9999822909,23
docs\inst_test\instancias\n_1000_1,100,20,10,5,0.2000,202,9994827117,9994822716,23
docs\inst_test\instancias\n_1000_1,100,20,10,5,0.3000,4,9994827139,9994822678,22
docs\inst_test\instancias\n_1000_1,100,20,10,5,0.3000,12,9990356462,9990352483,28
docs\inst_test\instancias\n_1000_1,100,20,10,5,0.3000,202,9999887011,9999883425,27
docs\inst_test\instancias\n_1000_1,100,20,10,10,0.1000,12,9993297100,9993292455,24
docs\inst_test\instancias\n_1000_1,100,20,10,10,0.1000,4,9995296915,9995292252,27
docs\inst_test\instancias\n_1000_1,100,20,10,10,0.2000,4,9992827022,9992822537,23
docs\inst_test\instancias\n_1000_1,100,20,10,10,0.1000,202,9991296961,9991292372,24
docs\inst_test\instancias\n_1000_1,100,20,10,10,0.2000,12,9999827461,9999822909,23
docs\inst_test\instancias\n_1000_1,100,20,10,10,0.2000,202,9994827117,9994822716,23
docs\inst_test\instancias\n_1000_1,100,20,10,10,0.3000,4,9994827139,9994822678,24
docs\inst_test\instancias\n_1000_1,100,20,10,10,0.3000,12,9989826789,9989822344,21
docs\inst_test\instancias\n_1000_1,100,20,10,10,0.3000,202,9999886847,9999883349,21
docs\inst_test\instancias\n_1000_1,100,20,10,20,0.1000,12,9993297100,9993292455,23
docs\inst_test\instancias\n_1000_1,100,20,10,20,0.1000,4,9994297160,9994292499,27
docs\inst_test\instancias\n_1000_1,100,20,10,20,0.2000,4,9989296870,9989292248,24
docs\inst_test\instancias\n_1000_1,100,20,10,20,0.1000,202,9991296961,9991292372,28
docs\inst_test\instancias\n_1000_1,100,20,10,20,0.2000,12,9999827461,9999822909,25
docs\inst_test\instancias\n_1000_1,100,20,10,20,0.2000,202,9994827117,9994822716,21
docs\inst_test\instancias\n_1000_1,100,20,10,20,0.3000,4,9994827139,9994822678,22
docs\inst_test\instancias\n_1000_1,100,20,10,20,0.3000,12,9989826789,9989822344,25
docs\inst_test\instancias\n_1000_1,100,20,10,20,0.3000,202,9999357275,9999353107,22
docs\inst_test\instancias\n_1000_1,100,20,15,5,0.1000,4,9995297223,9995292560,23
docs\inst_test\instancias\n_1000_1,100,20,15,5,0.1000,202,9992297061,9992292379,23
docs\inst_test\instancias\n_1000_1,100,20,15,5,0.1000,12,9996297291,9996292580,24
docs\inst_test\instancias\n_1000_1,100,20,15,5,0.2000,4,9992827053,9992822527,22
docs\inst_test\instancias\n_1000_1,100,20,15,5,0.2000,12,9999827461,9999822909,28
docs\inst_test\instancias\n_1000_1,100,20,15,5,0.3000,12,9990356462,9990352483,21
docs\inst_test\instancias\n_1000_1,100,20,15,5,0.2000,202,9994827117,9994822716,27
docs\inst_test\instancias\n_1000_1,100,20,15,5,0.3000,202,9999887011,9999883425,22
docs\inst_test\instancias\n_1000_1,100,20,15,5,0.3000,4,9994827139,9994822678,30
docs\inst_test\instancias\n_1000_1,100,20,15,10,0.1000,12,9993297100,9993292455,25
docs\inst_test\instancias\n_1000_1,100,20,15,10,0.1000,4,9995296915,9995292252,27
docs\inst_test\instancias\n_1000_1,100,20,15,10,0.1000,202,9991296961,9991292372,27
docs\inst_test\instancias\n_1000_1,100,20,15,10,0.2000,4,9992827022,9992822537,25
docs\inst_test\instancias\n_1000_1,100,20,15,10,0.2000,12,9999827461,9999822909,23
docs\inst_test\instancias\n_1000_1,100,20,15,10,0.2000,202,9994827117,9994822716,24
docs\inst_test\instancias\n_1000_1,100,20,15,10,0.3000,202,9999886847,9999883349,21
docs\inst_test\instancias\n_1000_1,100,20,15,10,0.3000,12,9989826789,9989822344,25
docs\inst_test\instancias\n_1000_1,100,20,15,10,0.3000,4,9994827139,9994822678,32
docs\inst_test\instancias\n_1000_1,100,20,15,20,0.1000,4,9994297160,9994292499,25
docs\inst_test\instancias\n_1000_1,100,20,15,20,0.1000,12,9993297100,9993292455,25
docs\inst_test\instancias\n_1000_1,100,20,15,20,0.1000,202,9991296961,9991292372,23
docs\inst_test\instancias\n_1000_1,100,20,15,20,0.2000,4,9989296870,9989292248,23
docs\inst_test\instancias\n_1000_1,100,20,15,20,0.2000,12,9999827461,9999822909,24
docs\inst_test\instancias\n_1000_1,100,20,15,20,0.2000,202,9994827117,9994822716,22
docs\inst_test\instancias\n_1000_1,100,20,15,20,0.3000,4,9994827139,9994822678,24
docs\inst_test\instancias\n_1000_1,100,20,15,20,0.3000,202,9999357275,9999353107,25
docs\inst_test\instancias\n_1000_1,100,20,15,20,0.3000,12,9989826789,9989822344,25
docs\inst_test\instancias\n_1000_1,300,10,7,5,0.1000,4,9998296816,9998292965,79
docs\inst_test\instancias\n_1000_1,300,10,7,5,0.1000,202,9997297340,9997292710,77
docs\inst_test\instancias\n_1000_1,300,10,7,5,0.2000,4,9999887084,9999883400,76
docs\inst_test\instancias\n_1000_1,300,10,7,5,0.1000,12,9998297366,9998292698,80
docs\inst_test\instancias\n_1000_1,300,10,7,5,0.2000,12,9999827461,9999822909,74
docs\inst_test\instancias\n_1000_1,300,10,7,5,0.3000,4,9999887081,9999883504,68
docs\inst_test\instancias\n_1000_1,300,10,7,5,0.2000,202,9999886938,9999883405,74
docs\inst_test\instancias\n_1000_1,300,10,7,5,0.3000,12,9999946166,9999943966,77
docs\inst_test\instancias\n_1000_1,300,10,7,5,0.3000,202,9999887049,9999883486,65
docs\inst_test\instancias\n_1000_1,300,10,7,10,0.2000,4,9999357296,9999353185,68
docs\inst_test\instancias\n_1000_1,300,10,7,10,0.1000,12,9996297329,9996292638,73
docs\inst_test\instancias\n_1000_1,300,10,7,10,0.1000,202,9996297269,9996292641,73
docs\inst_test\instancias\n_1000_1,300,10,7,10,0.1000,4,9997297326,9997292698,76
docs\inst_test\instancias\n_1000_1,300,10,7,10,0.2000,12,9999827461,9999822909,70
docs\inst_test\instancias\n_1000_1,300,10,7,10,0.2000,202,9997886879,9997883264,71
docs\inst_test\instancias\n_1000_1,300,10,7,10,0.3000,4,9999886810,9999883434,68
docs\inst_test\instancias\n_1000_1,300,10,7,10,0.3000,12,9998416536,9998413562,63
docs\inst_test\instancias\n_1000_1,300,10,7,10,0.3000,202,9999887049,9999883486,62
docs\inst_test\instancias\n_1000_1,300,10,7,20,0.2000,4,9999357296,9999353185,65
docs\inst_test\instancias\n_1000_1,300,10,7,20,0.1000,202,9996297269,9996292641,68
docs\inst_test\instancias\n_1000_1,300,10,7,20,0.1000,12,9996297294,9996292549,70
docs\inst_test\instancias\n_1000_1,300,10,7,20,0.2000,12,9999827461,9999822909,69
docs\inst_test\instancias\n_1000_1,300,10,7,20,0.1000,4,9995297223,9995292560,74
docs\inst_test\instancias\n_1000_1,300,10,7,20,0.2000,202,9996357003,9996352914,68
docs\inst_test\instancias\n_1000_1,300,10,7,20,0.3000,4,9995356982,9995352887,66
docs\inst_test\instancias\n_1000_1,300,10,7,20,0.3000,12,9995416287,9995413420,62
docs\inst_test\instancias\n_1000_1,300,10,7,20,0.3000,202,9999887049,9999883486,66
docs\inst_test\instancias\n_1000_1,300,10,10,5,0.2000,4,9999887084,9999883400,71
docs\inst_test\instancias\n_1000_1,300,10,10,5,0.1000,4,9998296816,9998292965,76
docs\inst_test\instancias\n_1000_1,300,10,10,5,0.1000,12,9998297366,9998292698,77
docs\inst_test\instancias\n_1000_1,300,10,10,5,0.2000,12,9999827461,9999822909,73
docs\inst_test\instancias\n_1000_1,300,10,10,5,0.1000,202,9997297340,9997292710,82
docs\inst_test\instancias\n_1000_1,300,10,10,5,0.3000,12,9999946166,9999943966,59
docs\inst_test\instancias\n_1000_1,300,10,10,5,0.3000,4,9999887081,9999883504,76
docs\inst_test\instancias\n_1000_1,300,10,10,5,0.2000,202,9999886938,9999883405,85
docs\inst_test\instancias\n_1000_1,300,10,10,5,0.3000,202,9999887049,9999883486,65
docs\inst_test\instancias\n_1000_1,300,10,10,10,0.1000,4,9997297326,9997292698,71
docs\inst_test\instancias\n_1000_1,300,10,10,10,0.2000,4,9999357296,9999353185,67
docs\inst_test\instancias\n_1000_1,300,10,10,10,0.1000,202,9996297269,9996292641,78
docs\inst_test\instancias\n_1000_1,300,10,10,10,0.1000,12,9996297329,9996292638,88
docs\inst_test\instancias\n_1000_1,300,10,10,10,0.2000,202,9997886879,9997883264,62
docs\inst_test\instancias\n_1000_1,300,10,10,10,0.2000,12,9999827461,9999822909,71
docs\inst_test\instancias\n_1000_1,300,10,10,10,0.3000,4,9999886810,9999883434,67
docs\inst_test\instancias\n_1000_1,300,10,10,10,0.3000,12,9998416536,9998413562,59
docs\inst_test\instancias\n_1000_1,300,10,10,10,0.3000,202,9999887049,9999883486,63
docs\inst_test\instancias\n_1000_1,300,10,10,20,0.1000,4,9995297223,9995292560,70
docs\inst_test\instancias\n_1000_1,300,10,10,20,0.1000,12,9996297294,9996292549,73
docs\inst_test\instancias\n_1000_1,300,10,10,20,0.1000,202,9996297269,9996292641,70
docs\inst_test\instancias\n_1000_1,300,10,10,20,0.2000,4,9999357296,9999353185,64
docs\inst_test\instancias\n_1000_1,300,10,10,20,0.2000,12,9999827461,9999822909,66
docs\inst_test\instancias\n_1000_1,300,10,10,20,0.2000,202,9996357003,9996352914,64
docs\inst_test\instancias\n_1000_1,300,10,10,20,0.3000,4,9995356982,9995352887,64
docs\inst_test\instancias\n_1000_1,300,10,10,20,0.3000,12,9995416287,9995413420,60
docs\inst_test\instancias\n_1000_1,300,10,10,20,0.3000,202,9999887049,9999883486,63
docs\inst_test\instancias\n_1000_1,300,10,15,5,0.1000,4,9998296816,9998292965,77
docs\inst_test\instancias\n_1000_1,300,10,15,5,0.1000,12,9998297366,9998292698,75
docs\inst_test\instancias\n_1000_1,300,10,15,5,0.1000,202,9997297340,9997292710,73
